fuel_type,aspiration,num_of_doors,body,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine,cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,rpm_peak,city_mpg,highway_mpg,price
1,0,1,0,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,4,3.47,2.68,9.0,111.0,5000.0,21,27,13495
1,0,1,0,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,4,3.47,2.68,9.0,111.0,5000.0,21,27,16500
1,0,1,2,2,0,94.5,171.2,65.5,52.4,2823,4,3,152,4,2.68,3.47,9.0,154.0,5000.0,19,26,16500
1,0,0,3,1,0,99.8,176.6,66.2,54.3,2337,2,2,109,4,3.19,3.4,10.0,102.0,5500.0,24,30,13950
1,0,0,3,0,0,99.4,176.6,66.4,54.3,2824,2,1,136,4,3.19,3.4,8.0,115.0,5500.0,18,22,17450
1,0,1,3,1,0,99.8,177.3,66.3,53.1,2507,2,1,136,4,3.19,3.4,8.5,110.0,5500.0,19,25,15250
1,0,0,3,1,0,105.8,192.7,71.4,55.7,2844,2,1,136,4,3.19,3.4,8.5,110.0,5500.0,19,25,17710
1,0,0,4,1,0,105.8,192.7,71.4,55.7,2954,2,1,136,4,3.19,3.4,8.5,110.0,5500.0,19,25,18920
1,1,0,3,1,0,105.8,192.7,71.4,55.9,3086,2,1,131,4,3.13,3.4,8.3,140.0,5500.0,17,20,23875
1,0,1,3,2,0,101.2,176.8,64.8,54.3,2395,2,2,108,4,3.5,2.8,8.8,101.0,5800.0,23,29,16430
1,0,0,3,2,0,101.2,176.8,64.8,54.3,2395,2,2,108,4,3.5,2.8,8.8,101.0,5800.0,23,29,16925
1,0,1,3,2,0,101.2,176.8,64.8,54.3,2710,2,3,164,4,3.31,3.19,9.0,121.0,4250.0,21,28,20970
1,0,0,3,2,0,101.2,176.8,64.8,54.3,2765,2,3,164,4,3.31,3.19,9.0,121.0,4250.0,21,28,21105
1,0,0,3,2,0,103.5,189.0,66.9,55.7,3055,2,3,164,4,3.31,3.19,9.0,121.0,4250.0,20,25,24565
1,0,0,3,2,0,103.5,189.0,66.9,55.7,3230,2,3,209,4,3.62,3.39,8.0,182.0,5400.0,16,22,30760
1,0,1,3,2,0,103.5,193.8,67.9,53.7,3380,2,3,209,4,3.62,3.39,8.0,182.0,5400.0,16,22,41315
1,0,0,3,2,0,110.0,197.0,70.9,56.3,3505,2,3,209,4,3.62,3.39,8.0,182.0,5400.0,15,20,36880
1,0,1,2,1,0,88.4,141.1,60.3,53.2,1488,1,4,61,1,2.91,3.03,9.5,48.0,5100.0,47,53,5151
1,0,1,2,1,0,94.5,155.9,63.6,52.0,1874,2,2,90,1,3.03,3.11,9.6,70.0,5400.0,38,43,6295
1,0,0,3,1,0,94.5,158.8,63.6,52.0,1909,2,2,90,1,3.03,3.11,9.6,70.0,5400.0,38,43,6575
1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,2,2,90,1,2.97,3.23,9.41,68.0,5500.0,37,41,5572
1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6377
1,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,2,2,98,4,3.03,3.39,7.6,102.0,5500.0,24,30,7957
1,0,0,2,1,0,93.7,157.3,63.8,50.6,1967,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6229
1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6692
1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,7609
1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,2,2,122,1,3.34,3.46,8.5,88.0,5000.0,24,30,8921
1,1,1,2,1,0,95.9,173.2,66.3,50.2,2811,2,2,156,3,3.6,3.9,7.0,145.0,5000.0,19,24,12964
1,0,1,2,1,0,86.6,144.6,63.9,50.8,1713,2,2,92,0,2.91,3.41,9.6,58.0,4800.0,49,54,6479
1,0,1,2,1,0,86.6,144.6,63.9,50.8,1819,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,31,38,6855
1,0,1,2,1,0,93.7,150.0,64.0,52.6,1837,2,2,79,0,2.91,3.07,10.1,60.0,5500.0,38,42,5399
1,0,1,2,1,0,93.7,150.0,64.0,52.6,1940,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,30,34,6529
1,0,1,2,1,0,93.7,150.0,64.0,52.6,1956,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,30,34,7129
1,0,0,3,1,0,96.5,163.4,64.0,54.5,2010,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,30,34,7295
1,0,0,4,1,0,96.5,157.1,63.9,58.3,2024,2,2,92,0,2.92,3.41,9.2,76.0,6000.0,30,34,7295
1,0,1,2,1,0,96.5,167.5,65.2,53.3,2236,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,7895
1,0,1,2,1,0,96.5,167.5,65.2,53.3,2289,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,9095
1,0,0,3,1,0,96.5,175.4,65.2,54.1,2304,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,8845
1,0,0,3,1,0,96.5,175.4,62.5,54.1,2372,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,10295
1,0,0,3,1,0,96.5,175.4,65.2,54.1,2465,2,2,110,4,3.15,3.58,9.0,101.0,5800.0,24,28,12945
1,0,1,3,1,0,96.5,169.1,66.0,51.0,2293,2,2,110,1,3.15,3.58,9.1,100.0,5500.0,25,31,10345
1,0,0,3,2,0,94.3,170.7,61.8,53.5,2337,2,2,111,1,3.31,3.23,8.5,78.0,4800.0,24,29,6785
