aspiration,drive_wheels,engine_location,width,height,cylinders,engine_size,bore,stroke,rpm_peak,price
0,2,0,64.1,48.8,2,130,3.47,2.68,5000.0,13495
0,2,0,64.1,48.8,2,130,3.47,2.68,5000.0,16500
0,2,0,65.5,52.4,3,152,2.68,3.47,5000.0,16500
0,1,0,66.2,54.3,2,109,3.19,3.4,5500.0,13950
0,0,0,66.4,54.3,1,136,3.19,3.4,5500.0,17450
0,1,0,66.3,53.1,1,136,3.19,3.4,5500.0,15250
0,1,0,71.4,55.7,1,136,3.19,3.4,5500.0,17710
0,1,0,71.4,55.7,1,136,3.19,3.4,5500.0,18920
1,1,0,71.4,55.9,1,131,3.13,3.4,5500.0,23875
0,2,0,64.8,54.3,2,108,3.5,2.8,5800.0,16430
0,2,0,64.8,54.3,2,108,3.5,2.8,5800.0,16925
0,2,0,64.8,54.3,3,164,3.31,3.19,4250.0,20970
0,2,0,64.8,54.3,3,164,3.31,3.19,4250.0,21105
0,2,0,66.9,55.7,3,164,3.31,3.19,4250.0,24565
0,2,0,66.9,55.7,3,209,3.62,3.39,5400.0,30760
0,2,0,67.9,53.7,3,209,3.62,3.39,5400.0,41315
0,2,0,70.9,56.3,3,209,3.62,3.39,5400.0,36880
0,1,0,60.3,53.2,4,61,2.91,3.03,5100.0,5151
0,1,0,63.6,52.0,2,90,3.03,3.11,5400.0,6295
0,1,0,63.6,52.0,2,90,3.03,3.11,5400.0,6575
0,1,0,63.8,50.8,2,90,2.97,3.23,5500.0,5572
0,1,0,63.8,50.8,2,90,2.97,3.23,5500.0,6377
1,1,0,63.8,50.8,2,98,3.03,3.39,5500.0,7957
0,1,0,63.8,50.6,2,90,2.97,3.23,5500.0,6229
0,1,0,63.8,50.6,2,90,2.97,3.23,5500.0,6692
0,1,0,63.8,50.6,2,90,2.97,3.23,5500.0,7609
0,1,0,64.6,59.8,2,122,3.34,3.46,5000.0,8921
1,1,0,66.3,50.2,2,156,3.6,3.9,5000.0,12964
0,1,0,63.9,50.8,2,92,2.91,3.41,4800.0,6479
0,1,0,63.9,50.8,2,92,2.91,3.41,6000.0,6855
0,1,0,64.0,52.6,2,79,2.91,3.07,5500.0,5399
0,1,0,64.0,52.6,2,92,2.91,3.41,6000.0,6529
0,1,0,64.0,52.6,2,92,2.91,3.41,6000.0,7129
0,1,0,64.0,54.5,2,92,2.91,3.41,6000.0,7295
0,1,0,63.9,58.3,2,92,2.92,3.41,6000.0,7295
0,1,0,65.2,53.3,2,110,3.15,3.58,5800.0,7895
0,1,0,65.2,53.3,2,110,3.15,3.58,5800.0,9095
0,1,0,65.2,54.1,2,110,3.15,3.58,5800.0,8845
0,1,0,62.5,54.1,2,110,3.15,3.58,5800.0,10295
0,1,0,65.2,54.1,2,110,3.15,3.58,5800.0,12945
0,1,0,66.0,51.0,2,110,3.15,3.58,5500.0,10345
0,2,0,61.8,53.5,2,111,3.31,3.23,4800.0,6785
0,2,0,65.2,51.4,2,119,3.43,3.23,5000.0,11048
0,2,0,69.6,52.8,3,258,3.63,4.17,4750.0,32250
0,2,0,69.6,52.8,3,258,3.63,4.17,4750.0,35550
0,2,0,70.6,47.8,5,326,3.54,2.76,5000.0,36000
0,1,0,64.2,54.1,2,91,3.03,3.15,5000.0,5195
0,1,0,64.2,54.1,2,91,3.03,3.15,5000.0,6095
0,1,0,64.2,54.1,2,91,3.03,3.15,5000.0,6795
0,1,0,64.2,54.1,2,91,3.03,3.15,5000.0,6695
0,1,0,64.2,54.1,2,91,3.08,3.15,5000.0,7395
0,1,0,66.5,53.7,2,122,3.39,3.39,4800.0,8845
0,1,0,66.5,55.5,2,122,3.39,3.39,4800.0,8495
0,1,0,66.5,53.7,2,122,3.39,3.39,4800.0,10595
